sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon,wgs84_elev_from_pgc,orthometric_elev_from_pgc,elev_bin,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,ph_mq,ph_kcl,ph_cacl2,ec_us_cm,cec_meq_100g,d15n_air_permil,d13c_vpdb_permil,wt_percent_n,wt_percent_c,c_n_ratio,hr_1_mg_l_f,hr_1_mg_l_cl,hr_1_mg_l_no3,hr_1_mg_l_po4,hr_1_mg_l_so4,hr_24_mg_l_f,hr_24_mg_l_cl,hr_24_mg_l_no3,hr_24_mg_l_po4,hr_24_mg_l_so4,total_mg_l_f,total_mg_l_cl,total_mg_l_no3,total_mg_l_po4,total_mg_l_so4,total_mg_l_ca2,total_mg_l_k,total_mg_l_mg2,total_mg_l_na,total_mg_l_sr2,digest_mg_kg_al3082,digest_mg_kg_as1890,digest_mg_kg_b_2496,digest_mg_kg_ba4554,digest_mg_kg_be3130,digest_mg_kg_ca3158,digest_mg_kg_cd2288,digest_mg_kg_co2286,digest_mg_kg_cr2835,digest_mg_kg_cu3247,digest_mg_kg_fe2599,digest_mg_kg_hg1849,digest_mg_kg_k_7664,digest_mg_kg_li6707,digest_mg_kg_mg2852,digest_mg_kg_mn2576,digest_mg_kg_mo2020,digest_mg_kg_na5895,digest_mg_kg_ni2316,digest_mg_kg_p_1774,digest_mg_kg_pb2203,digest_mg_kg_sb2068,digest_mg_kg_se1960,digest_mg_kg_si2516,digest_mg_kg_sn1899,digest_mg_kg_sr4077,digest_mg_kg_ti3349,digest_mg_kg_tl1908,digest_mg_kg_v_2924,digest_mg_kg_zn2138,lithcode_a,lithcode_b,lithcode_c,lithcode_d,lithcode_g,lithcode_n,lithcode_p,lithcode_s,lithcode_w
33,CR-0828,CR,Cape Royds (2007-08),Cape Royds,South Victoria Land,-77.551,166.163,-23.004,30.025,lower,0.5,57.3,-14.53,6.5,86,7.16,6.81,6.752,4156.1,7,33.08,-27.32,0.44,0.88,1.99,23.84,833.29,322.49,301.77,1600.38,39,109.43,41.55,296.35,25,62.84,942.72,364.03,598.12,1625.38,22.31,282.85,139.4,622.5,0.245,14305.84,6.44,0.5,14.49,2.41,9986.92,2.5,3.52,7.44,0.5,12545.27,71.43,4333,7.85,5321.93,459.15,2.11,10261.57,0.5,11096.58,1.5,1.5,3,213.38,1.5,138.93,661.67,2,3.52,80.28,1,0,0,0,0,0,0,0,0
34,CR-0833,CR,Cape Royds (2007-08),Cape Royds,South Victoria Land,-77.551,166.163,-23.004,30.025,lower,0.5,57.3,-14.53,6.5,86,6.752,5.966,6.198,2574.7,6,23.29,-22.7,0.08,0.38,4.45,18.31,741.86,40.7,76.28,25,16.45,122.95,0.25,18.11,25,34.76,864.81,40.95,94.38,50,8.54,152.85,12.66,508.87,0.105,13935.74,2.5,0.5,18.07,2.11,4618.47,2.5,5.22,7.63,0.5,14949.8,25,4878.51,7.13,3994.98,471.99,1.61,10251,2.11,2281.12,1.5,1.5,3,201.41,1.5,43.98,1114.46,2,5.42,47.09,1,0,0,0,0,0,0,0,0
35,CS-CR2,CS,Cape Royds (2012-13),Cape Royds,South Victoria Land,-77.55312,166.16075,-40.5921,12.4279,lower,0.1,57.3,-14.53,6.2,259,5.365,4.445,5.138,5942,15.1,27.18,-25.03,0.12,0.31,2.57,4.76,2117.52,140.23,60.63,885.4,7.13,240.83,7.56,62.87,25,11.89,2358.34,147.79,123.5,910.4,32.16,157.14,54.57,2223.71,0.23,21262.53,2.5,0.5,54.51,2,6812.63,2.5,8.22,10.12,0.5,21773.55,25,4525.05,3.81,4550.1,561.32,2.3,13917.84,2.4,5545.09,1.5,1.5,3,181.86,1.5,65.33,2007.01,2,15.13,53.11,1,0,0,0,0,0,0,0,0
36,CS-CR5,CS,Cape Royds (2012-13),Cape Royds,South Victoria Land,-77.55379,166.16237,-47.1427,5.87528,lower,0.1,57.3,-14.53,4.5,32.5,5.463,5.003,5.059,5358.7,9,22.88,-26.63,0.21,0.89,4.22,8.3,2212.57,188.1,200.31,692.65,7.17,327.6,11.89,254.35,25,15.47,2540.17,199.99,454.65,717.65,71.72,184.07,233.16,1500.25,0.465,21492.99,10.32,96.79,46.59,4.71,16993.99,2.5,6.11,11.62,1.6,17094.19,130.86,5510.02,8.22,4089.18,582.97,3.11,15611.22,2.1,11352.71,3.11,1.5,3,232.36,1.5,237.58,1036.07,2,14.23,109.42,1,0,0,0,0,0,0,0,0
37,CS-CR7,CS,Cape Royds (2012-13),Cape Royds,South Victoria Land,-77.55383,166.16182,-48.9174,4.09965,lower,0.1,57.3,-14.53,2.9,65.1,7.382,6.979,7.068,10769.5,12.3,40.84,-25.3,0.48,0.51,1.06,15.44,2432.78,9.17,417.79,1686,12.68,297.75,10.8,459.49,25,28.12,2730.53,19.97,877.29,1711,54.92,570,69.5,2849.5,0.71,15010.04,6.22,14.76,44.68,1.51,7650.6,2.5,6.22,6.53,0.5,13805.22,42.77,4097.39,8.73,5653.61,471.49,1.41,10823.29,2.61,5448.8,1.5,1.5,3,192.07,1.5,75.5,1087.35,2,10.44,41.77,1,0,0,0,0,0,0,0,0
38,CS-CR9,CS,Cape Royds (2012-13),Cape Royds,South Victoria Land,-77.5538,166.16188,-48.6517,4.36534,lower,0.1,57.3,-14.53,2.9,65.1,4.94,4.079,4.656,3433.2,7.9,21.35,-24.37,0.1,0.46,4.67,4.68,951.91,32.81,0.25,25,2.56,166.56,0.25,11.76,25,7.24,1118.47,33.06,12.01,50,8.36,137.54,20.8,681.3,0.075,25558.88,2.5,5.09,64.77,3.39,10109.78,2.5,8.38,10.48,0.5,22405.19,24.15,7534.93,9.08,5146.71,725.75,3.09,16676.65,2,4990.02,1.5,1.5,3,217.66,1.5,137.03,1784.43,2,22.26,74.55,1,0,0,0,0,0,0,0,0
39,DA-1,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36,415.134,465.032,lower,3.4,122.5,-26.96,4.9,276.9,8.629,7.086,7.289,117.3,6.2,-2.37,-3.7,0.02,0.1,4.21,5.96,330.51,96.21,0.25,555.84,6.85,59.85,5.17,0.25,391.23,12.81,390.35,101.38,0.5,947.07,429.31,87.69,79,317.22,0.44,11837.35,2.5,0.5,23.09,0.5,7109.44,2.5,7.73,15.66,26.2,13142.57,2.5,1156.63,9.84,4324.3,134.64,0.1,917.97,11.45,195.18,3.31,1.5,3,105.42,1.5,24.6,87.75,2,21.08,19.08,0,0,0,0,1,0,0,0,0
40,DA-3,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36,415.134,465.032,lower,3.4,122.5,-26.96,4.9,276.9,8.868,7.534,7.661,161.5,3.4,-11.57,-38.45,0.03,0.01,0.35,5.07,321.73,285.47,0.25,25,7.88,53.74,18.85,0.25,25,12.95,375.47,304.32,0.5,50,398.58,31.19,86.59,308.01,1.624,10522.09,6.12,92.37,12.05,1.1,6148.59,2.5,9.24,12.25,46.49,14538.15,117.07,717.37,21.08,3711.85,141.16,1,1191.77,12.55,241.47,3.61,1.5,3,116.67,1.5,21.29,144.48,2,42.57,19.38,0,0,0,0,1,0,0,0,0
41,DA-4,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36,415.134,465.032,lower,3.4,122.5,-26.96,4.9,276.9,8.703,6.984,7.555,103.1,3.6,-11.24,-9.94,0.12,0.05,0.42,8.31,1053.86,1074.44,0.25,922.26,6.89,100.35,74.82,0.25,25,15.2,1154.21,1149.26,0.5,947.26,1583.72,49.5,488.9,782.84,6.253,13835.34,2.5,14.56,12.05,0.6,8942.77,2.5,9.84,16.77,43.78,17088.35,38.76,1454.82,27.11,6169.68,168.27,0.6,1852.41,15.36,224.5,3.61,1.5,3,172.99,1.5,27.71,163.25,2,41.77,21.79,0,0,0,0,1,0,0,0,0
42,DA-5,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36,415.134,465.032,lower,3.4,122.5,-26.96,4.9,276.9,8.696,7.301,7.521,103.3,4.5,-10.45,-5.59,0.21,0.08,0.37,4.14,1989.78,1976.96,0.25,25,5.25,140.12,107.23,0.25,25,9.39,2129.9,2084.19,0.5,50,1525.36,63.54,854.41,1967.81,5.357,13108.65,2.5,2.11,11.07,0.6,8565.39,2.5,9.86,18.91,40.64,16408.45,20.93,1518.11,8.05,6258.55,185.21,0.5,2722.33,14.89,267.2,4.73,1.5,3,199.3,1.5,22.84,101.31,2,25.05,24.45,0,0,0,0,1,0,0,0,0
43,DA-6,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36,415.134,465.032,lower,3.4,122.5,-26.96,4.9,276.9,8.482,6.918,7.522,121.1,3.2,-13.83,-20.63,0.09,0.03,0.3,2.77,616.93,617.29,0.25,1068.89,0.13,96.64,71.76,0.25,25,2.9,713.57,689.05,0.5,1093.89,1225.53,60.96,426.12,483.33,3.713,10886.45,2.5,0.5,52.79,0.3,6738.05,2.5,6.77,14.74,25,12948.21,11.16,1387.45,26.89,4596.61,161.25,0.5,1290.84,10.76,297.91,5.98,1.5,3,176.59,1.5,22.71,108.76,2,25.3,15.74,0,0,0,0,1,0,0,0,0
44,DS1(1-2),DS,Dais,Upper Wright Valley,South Victoria Land,-77.551217,161.22075,802.678,854.18,lower,54.1,37,-31.26,4.9,294.9,8.046,7.645,7.937,5995.7,5.1,-15.45,-23.16,0.03,0.07,2.32,7.95,813.22,144.88,0.25,7099.92,6.55,489.11,13.17,0.25,5836.95,14.5,1302.33,158.05,0.5,12936.86,5538.85,591.9,432.29,1183.14,8.938,12359.44,2.5,5.32,22.09,0.5,22881.53,2.5,7.43,16.16,8.43,13975.9,7.43,2016.06,13.96,5456.83,225.8,0.1,2070.28,10.94,277.71,1.5,1.5,3,242.57,1.5,43.07,506.73,2,23.19,29.52,0,0,0,0,0,1,0,0,0
45,DS2(1-2),DS,Dais,Upper Wright Valley,South Victoria Land,-77.55055,161.25785,747.053,798.559,lower,53.2,37,-31.26,2.2,0.1,8.091,7.662,7.971,6714.2,5.2,-14.9,-9.19,0.03,0.1,3.33,5.52,868.2,199.11,0.25,7801.85,5.15,194.25,9.58,0.25,6348.55,10.66,1062.45,208.69,0.5,14150.4,5757,217.8,413.65,1236.2,9.1,10711.42,2.5,0.5,26.05,1,23086.17,2.5,6.51,15.43,8.52,13336.67,2.5,1993.99,12.22,4759.52,210.02,0.2,2500,9.12,437.88,1.5,1.5,3,263.73,1.5,39.28,355.41,2,18.84,29.16,0,0,1,0,0,0,0,0,0
46,GE-A1-3,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.02102,163.89929,304.222,355.637,lower,9.7,58.3,-25.52,2.8,16.9,10.074,8.312,8.103,280.7,2.8,-13.05,0.83,0.01,0.82,91.07,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,14.84,56.21,4.71,161.15,0.125,9648.89,2.5,0.5,57.75,0.05,37847.08,2.5,13.98,24.04,4.43,18038.23,2.5,2470.82,7.34,14336.02,247.99,0.6,3150.91,46.98,753.92,1.5,1.5,3,126.96,1.5,209.76,1384.31,2,46.08,31.29,0,0,1,0,0,0,0,0,0
47,GE-A2-2,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.02102,163.89957,304.376,355.791,lower,9.7,58.3,-25.52,2.8,16.9,9.926,8.194,8.051,229.2,1.9,-12.51,0.41,0.01,0.61,81.31,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,11.15,36.87,5.56,173.35,0.13,12439.76,5.12,20.68,88.15,0.6,29377.51,2.5,17.37,34.44,5.92,23202.81,53.92,3327.31,12.35,16355.42,381.53,0.6,4080.32,60.14,762.85,3.11,3.71,3,201.41,1.5,228.92,2132.53,2,51.2,35.24,0,0,1,0,0,0,0,0,0
48,GE-B1-3,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.01838,163.88684,317.617,369.033,lower,10,58.3,-25.52,5.4,1.5,9.644,8.159,8.053,280.1,3.2,-10.4,-0.67,0.01,0.81,62.43,0.13,40.38,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,42.88,0.5,0.5,50,17.44,49.67,8.63,176.31,0.195,11603.59,2.5,0.5,86.75,0.1,48256.97,2.5,15.54,29.38,5.58,21374.5,19.42,3478.09,12.25,14691.24,348.21,0.6,3711.16,49.5,808.96,1.5,1.5,3,171.12,1.5,325.4,1821.71,2,47.71,33.76,0,0,1,0,0,0,0,0,0
49,GE-C2-3,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.0178,163.87904,335.981,387.395,lower,10.2,58.3,-25.52,10.1,322,9.797,7.962,7.979,298.7,2.9,-12.67,-1.02,0.01,0.79,68.78,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,46.14,49.46,8.45,237.75,0.18,10401.61,2.5,0.5,104.02,0.1,34899.6,2.5,12.85,26.81,8.33,19206.83,10.44,4182.73,18.47,11736.95,290.26,0.6,2875.5,35.04,749.1,1.5,1.5,3,165.96,1.5,289.26,1706.83,2,41.57,34.64,0,0,1,0,0,0,0,0,0
50,GE-C3-2,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.0178,163.87984,334.335,385.749,lower,10.2,58.3,-25.52,11.3,312.3,9.756,7.996,7.915,230.6,2.6,-10.51,-0.98,0.01,0.7,58.21,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,12.9,39.76,6.45,193.36,0.16,11700,2.5,0.5,105.4,0.05,35370,2.5,15.7,32.1,7.4,22090,5.5,4043,15.5,14830,341.9,0.5,3291,49.3,897.9,1.5,3.5,3,172.9,1.5,262.2,2109,2,47.7,36.9,0,0,1,0,0,0,0,0,0
51,HC-BA1,HC,Hawkins Cirque,Virginia Valley,South Victoria Land,-77.51125,160.58441,1142.92,1194.48,middle,67.7,38.3,-35.59,5.9,332.2,7.593,6.93,6.847,1693,2.8,-11.63,-30.58,0.01,0.03,2.64,4,56.3,13.81,0.25,641.11,9.8,50.4,0.25,0.25,25,13.8,106.7,14.06,0.5,666.11,99.08,56.62,42.64,240.79,0.3,6630.22,2.5,0.5,3.18,0.1,3524.85,2.5,10.44,7.75,39.86,15149.11,10.44,438.87,0.05,4040.76,123.16,0.1,959.44,11.63,451.79,3.68,1.5,3,156.86,1.5,10.34,100.99,2,32.01,17.4,0,0,1,0,0,0,0,0,0
52,HC-BA2,HC,Hawkins Cirque,Virginia Valley,South Victoria Land,-77.51149,160.58763,1139.36,1190.93,middle,67.7,38.3,-35.59,7.8,331.1,8.513,6.684,6.806,32.8,2.1,-10.78,-30.06,0.01,0.04,4.58,0.13,2.5,0.25,0.25,25,0.13,72.56,0.25,0.25,25,0.25,75.06,0.5,0.5,50,6.49,89.94,3.78,22.86,0.015,4774.9,2.5,0.5,3.19,0.05,2589.64,2.5,7.27,6.08,21.91,10527.89,2.5,311.75,3.59,2595.62,96.31,0.3,436.85,8.76,339.14,3.59,1.5,3,163.15,1.5,7.37,85.06,2,22.01,47.41,0,0,1,0,0,0,0,0,0
53,HC-Z5-1,HC,Hawkins Cirque,Virginia Valley,South Victoria Land,-77.509267,160.589717,1163.15,1214.73,middle,67.4,38.3,-35.59,4.3,4.1,7.497,6.692,6.677,1694.7,2.6,-9.13,-31.57,0.01,0.03,1.83,5.85,161.78,73.51,0.25,620.23,1.93,136.15,0.25,0.25,25,7.77,297.93,73.76,0.5,645.23,90.73,99.68,48.87,347.95,0.135,4947.69,2.5,0.5,2.82,0.1,2698.19,2.5,9.26,4.73,33.3,13068.41,2.5,485.31,1.31,3039.24,106.24,0.1,840.14,9.15,424.95,3.92,1.5,3,161.07,1.5,6.24,73.44,2,25.96,14.29,0,0,1,0,0,0,0,0,0
54,HC-ZS2,HC,Hawkins Cirque,Virginia Valley,South Victoria Land,-77.509533,160.596333,1183.27,1234.84,middle,67.4,38.3,-35.59,14.5,16,7.236,6.502,6.574,3512,2.9,-12.3,-32.37,0.02,0.06,2.35,22.35,251.06,114.56,0.25,2918.12,30.25,174.87,4.91,0.25,25,52.59,425.92,119.47,0.5,2943.12,1076.75,134.94,224.4,350.7,2.805,6885.91,2.5,0.5,3.47,0.05,4003.97,2.5,11.21,7.84,41.87,15634.92,2.5,515.28,1.69,4335.32,129.27,0.1,956.05,13.49,512.4,3.77,1.5,3,169.15,1.5,13.99,74.5,2,26.69,18.35,0,0,1,0,0,0,0,0,0
55,HD-10,HD,Hogg: Durham Point,Scott Glacier,Transantarctic Mountains,-85.53565,-151.18523,257.424,294.606,lower,16.8,232.5,-22.57,12.2,183.2,6.912,6.258,6.704,2213,2.3,-6.98,-29.02,0.01,0.04,6.59,0.13,71.94,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,74.44,0.5,0.5,50,24.6,39.37,5.89,55.79,0.06,7581.67,2.5,0.5,9.56,0.6,4257.97,2.5,4.28,8.27,2.99,10348.61,2.5,1871.51,27.39,3060.76,212.35,0.1,225,2.59,422.01,6.57,1.5,3,333.37,1.5,10.06,821.41,2,13.45,36.95,0,0,0,0,1,0,0,0,0
56,HD-14,HD,Hogg: Durham Point,Scott Glacier,Transantarctic Mountains,-85.53555,-151.18968,252.395,289.579,lower,16.7,232.5,-22.57,10.9,191.8,6.476,6.687,7.179,11659.3,4,-11.18,-28.01,0.01,0.02,2.42,0.13,42.46,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,44.96,0.5,0.5,50,35.53,67.23,15.14,32.01,0.115,11962.15,2.5,0.5,19.32,0.7,4706.18,2.5,5.28,12.05,5.78,13814.74,2.5,3846.61,39.74,3934.26,290.54,0.1,383.86,2.79,371.31,6.77,1.5,3,344.92,3.78,16.73,969.02,2,15.14,50.9,0,0,0,0,1,0,0,0,0
57,HD-6,HD,Hogg: Durham Point,Scott Glacier,Transantarctic Mountains,-85.54578,-151.14393,430.317,467.411,lower,17.9,232.5,-22.57,14.2,154.4,6.794,6.755,7.07,16559.6,1,-9.9,-32.22,0.01,0.06,4.54,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,5.22,22.47,1.35,47.89,0.015,4399,2.5,0.5,6.9,0.3,1813,2.5,3.2,7.7,6.6,7517,2.5,1280,21.1,2392,166.1,0.1,145,1.9,221.4,3.2,1.5,3,151.2,1.5,3.1,460.3,2,10.2,28,0,0,0,0,1,0,0,0,0
58,HG-3,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5361,-174.9459,122.046,161.613,lower,5.6,139.9,-21.73,3.6,128.4,7.514,5.696,6.562,31.8,1.2,-4.55,-30.48,0.02,0.12,7.09,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,10.29,52.91,4.12,44.14,0.025,6006.93,2.5,0.5,9.7,0.3,3134.65,2.5,5.64,9.01,2.08,11980.2,16.63,761.39,11.78,4078.22,277.43,0.1,138.51,4.55,421.29,4.26,1.5,3,152.67,1.5,8.42,642.87,2,23.66,30.99,0,0,0,0,1,0,0,0,0
59,HG-54,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5362,-174.9438,122.004,161.572,lower,5.6,139.9,-21.73,13.9,207.8,8.665,7.879,7.821,403.1,1.1,-11.06,-30.29,0.02,0.2,9.09,0.13,2.5,0.25,0.25,25,6.17,2.5,0.25,0.25,25,6.3,5,0.5,0.5,50,4.18,31.11,0.88,6.47,0.008,4382,2.5,0.5,6.3,0.3,2440,2.5,3.8,5.7,3,6913,2.5,439.2,5.4,2688,184.7,0.1,155.8,2.7,187.2,5,1.5,3,112.8,1.5,7.5,373.2,2,14.5,24.4,0,0,0,0,1,0,0,0,0
60,HG-6,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5357,-174.9415,93.7995,133.368,lower,5.6,139.9,-21.73,19.2,216.3,7.215,4.378,4.687,7247.5,2,-1.87,-29.68,0.04,0.31,8.16,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,13.26,42.99,3.7,11.7,0.03,6548.39,2.5,0.5,8.47,0.3,3464.72,2.5,6.15,7.16,3.53,12651.21,11.19,694.56,11.69,4447.58,280.54,0.1,145.97,4.44,652.12,4.03,3.63,3,219.05,1.5,6.85,565.63,2,23.89,33.47,0,0,1,0,0,0,0,0,0
61,HG-8,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5356,-174.952,119.382,158.948,lower,5.5,139.9,-21.73,9.1,153.1,4.51,3.564,4.279,4173.9,1,-2.45,-28.7,0.03,0.33,9.71,0.13,2.5,0.25,41.37,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,41.62,50,7.69,68.72,1.21,44.05,0.02,5514,2.5,0.5,8.7,0.2,2821,2.5,5.4,6.3,0.5,9500,6.8,606.3,7.5,3654,214.5,0.1,165.9,3.7,370.8,1.5,1.5,3,182.7,1.5,5.8,569.8,2,18,25.7,0,0,0,0,0,0,0,0,1
62,HG-9,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5379,-174.9299,157.443,197.013,lower,5.9,139.9,-21.73,19.3,186.2,4.787,3.83,4.597,4703.2,0.7,-8.59,-29.66,0.01,0.09,8.63,0.13,45.32,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,47.82,0.5,0.5,50,4.47,49.15,0.92,16.87,0.015,3942.66,2.5,0.5,7.55,0.1,1963.78,2.5,3.92,2.82,2.41,7041.25,2.5,676.56,9.26,2791.75,212.78,0.1,136.42,1.21,279.58,1.5,1.5,3,139.44,1.5,3.12,452.82,2,13.58,21.53,0,0,0,0,1,0,0,0,0
63,HK-1,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760833,172.746167,438.754,480.062,lower,7.2,175.6,-23.17,28.2,14.3,7.66,7.165,7.639,13825.6,1,-6.66,-28.75,0.01,0.05,5.01,6.59,51.89,0.25,0.25,25,2.5,2.5,0.25,0.25,25,9.08,54.39,0.5,0.5,50,45.84,148.85,3.6,19.17,0.09,4445.11,2.5,0.5,18.46,0.1,1013.97,2.5,3.29,9.48,1.3,8619.76,2.5,2673.65,37.82,1811.38,183.03,0.3,167.86,3.09,244.11,4.39,1.5,3,206.99,1.5,3.79,401.5,2,4.29,27.35,0,0,0,0,0,0,0,1,0
64,HK-2,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760833,172.7461,438.663,479.971,lower,7.2,175.6,-23.17,28.2,14.3,6.726,6.125,6.672,13255.9,1,-10.27,-27.07,0.03,0.29,9.95,6.23,2.5,0.25,0.25,25,2.29,2.5,0.25,23.83,25,8.52,5,0.5,24.08,50,11.61,174.74,2.02,14.66,0.05,5574.3,9.94,74.3,23.19,1.61,1306.22,2.5,4.72,16.16,7.13,9505.02,102.61,3644.58,36.75,3306.22,216.87,0.3,340.56,5.12,321.59,7.73,1.5,3,172.79,1.5,4.42,518.78,4.82,10.24,32.93,0,0,0,0,0,0,0,1,0
65,HK-3,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760817,172.74665,440.588,481.896,lower,7.2,175.6,-23.17,28.2,14.3,7.627,6.082,6.805,125.1,3,-5.6,-30.42,0.01,0.04,4.33,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,19.24,47.79,2.16,19.13,0.04,4679.28,2.5,19.22,22.21,0.7,1277.89,2.5,3.78,14.54,5.48,8911.35,38.75,3715.14,34.36,3283.86,197.31,0.1,272.41,4.08,308.57,5.18,1.5,3,141.04,1.5,3.98,468.73,2,10.06,29.28,0,0,0,0,0,0,0,1,0
66,HK-4,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760717,172.749983,455.496,496.807,lower,7.1,175.6,-23.17,25.8,15,7.908,6.235,6.735,88.8,0.6,-5.71,-27.93,0.01,0.04,4.91,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,13.49,22.08,1.36,20.53,0.03,3037.77,2.5,3.68,8.35,0.2,1016.9,2.5,2.09,4.57,2.88,6917.5,22.47,1901.59,34.19,1429.42,170.78,0.1,308.75,0.5,271.77,4.17,1.5,3,138.97,1.5,1.79,215.31,2,4.08,24.35,0,0,0,0,0,0,0,1,0
67,HK-5,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760733,172.750683,454.1,495.412,lower,7.1,175.6,-23.17,30.9,10.8,7.686,6.383,6.636,142.8,0.7,-7.66,-26.69,0.01,0.04,4.22,3.31,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,3.44,5,0.5,0.5,50,19,24.99,2.38,21.2,0.03,5995.02,6.08,1.89,26.89,0.3,1637.45,2.5,4.18,11.75,5.28,11513.94,12.35,4941.24,50,3431.27,253.09,0.1,273.31,3.29,316.33,8.47,1.5,3,138.05,3.88,3.49,669.62,2,9.76,39.04,0,0,0,0,0,0,0,1,0
