sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon,wgs84_elev_from_pgc,orthometric_elev_from_pgc,elev_bin,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,ph_mq,ph_kcl,ph_cacl2,ec_us_cm,cec_meq_100g,d15n_air_permil,d13c_vpdb_permil,wt_percent_n,wt_percent_c,c_n_ratio,hr_1_mg_l_f,hr_1_mg_l_cl,hr_1_mg_l_no3,hr_1_mg_l_po4,hr_1_mg_l_so4,hr_24_mg_l_f,hr_24_mg_l_cl,hr_24_mg_l_no3,hr_24_mg_l_po4,hr_24_mg_l_so4,total_mg_l_f,total_mg_l_cl,total_mg_l_no3,total_mg_l_po4,total_mg_l_so4,total_mg_l_ca2,total_mg_l_k,total_mg_l_mg2,total_mg_l_na,total_mg_l_sr2,digest_mg_kg_al3082,digest_mg_kg_as1890,digest_mg_kg_b_2496,digest_mg_kg_ba4554,digest_mg_kg_be3130,digest_mg_kg_ca3158,digest_mg_kg_cd2288,digest_mg_kg_co2286,digest_mg_kg_cr2835,digest_mg_kg_cu3247,digest_mg_kg_fe2599,digest_mg_kg_hg1849,digest_mg_kg_k_7664,digest_mg_kg_li6707,digest_mg_kg_mg2852,digest_mg_kg_mn2576,digest_mg_kg_mo2020,digest_mg_kg_na5895,digest_mg_kg_ni2316,digest_mg_kg_p_1774,digest_mg_kg_pb2203,digest_mg_kg_sb2068,digest_mg_kg_se1960,digest_mg_kg_si2516,digest_mg_kg_sn1899,digest_mg_kg_sr4077,digest_mg_kg_ti3349,digest_mg_kg_tl1908,digest_mg_kg_v_2924,digest_mg_kg_zn2138,lithcode_a,lithcode_b,lithcode_c,lithcode_d,lithcode_g,lithcode_n,lithcode_p,lithcode_s,lithcode_w
104,LI-4,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66357,-60.39202,36.4766,16.3656,lower,0.2,1666,-4.05,8.2,326.6,5.566,4.837,5.049,102.2,3.7,4.99,-24.63,0.06,0.5,9.2,0.13,2.5,0.25,0.25,25,0.13,51.55,0.25,0.25,25,0.25,54.05,0.5,0.5,50,71.6,41.14,5.3,40.27,0.04,7633.27,2.5,0.5,26.55,0.05,1901.8,2.5,9.92,12.02,12.63,13787.58,2.5,238.48,5.11,4988.98,268.14,0.2,618.84,6.91,606.01,12.22,1.5,3,325.05,1.5,20.44,1455.91,2,34.27,41.78,0,0,0,0,0,0,1,0,0
105,LI-5,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66357,-60.39202,36.4766,16.3656,lower,0.2,1666,-4.05,8.2,326.6,5.999,4.989,5.131,103.9,2.7,4.92,-25.35,0.05,0.47,8.94,0.13,52,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,54.5,0.5,0.5,50,95.11,18.27,6.11,30.78,0.055,6116,2.5,0.5,18,0.05,1732,2.5,8.7,10.6,13.7,11390,2.5,177.4,3.2,4469,208.7,0.1,528.5,5.9,589.7,12.5,1.5,3,230.2,1.5,14.8,1308,2,31,30.4,0,0,0,0,0,0,1,0,0
106,LI-6,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66357,-60.39202,36.4766,16.3656,lower,0.2,1666,-4.05,8.2,326.6,6.173,5.065,5.205,83,2.5,4.11,-25.49,0.04,0.3,7.67,0.13,2.5,0.25,0.25,25,0.13,38.48,0.25,0.25,25,0.25,40.98,0.5,0.5,50,58.27,20.47,4.38,27.94,0.03,5413.83,2.5,0.5,16.43,0.05,1645.29,2.5,8.62,8.22,13.33,10821.64,2.5,145.49,2.71,4517.03,221.64,0.1,496.99,6.71,533.27,9.32,1.5,3,259.72,1.5,17.23,1212.42,2,28.46,28.16,0,0,0,0,0,0,1,0,0
107,LI-9,LI,Livingston Island,Livingston Island,North-west Antarctic Peninsula,-62.66187,-60.394,22.7492,2.65518,lower,0,1666,-4.05,15.7,317,5.964,4.834,5.008,277.1,7,6.13,-25.06,0.2,2.43,11.98,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,72.33,51.71,6.21,86.86,0.05,825.25,2.5,0.5,1.11,0.01,217.27,2.5,0.85,1.55,1.55,1366.27,2.5,42.64,0.47,538.62,24.4,0.1,48.72,0.95,104.69,3.46,1.5,3,17.81,1.5,1.39,97.05,2,3.07,5.66,0,0,0,0,0,0,1,0,0
108,LV-14,LV,Luther Vale,Cape Hallett,North Victoria Land,-72.370052,169.89582,107.792,162.478,lower,0.7,398.8,-20.46,4.8,208.4,7.861,7.38,7.357,286.1,1.2,3.27,-15.68,0.03,0.12,4.14,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,52.07,60.66,21.02,32.83,0.195,9476.1,2.5,0.5,12.45,0.1,3570.72,2.5,9.06,22.61,18.53,19342.63,2.5,1116.53,10.96,8027.89,323.71,0.1,189.14,24.5,645.12,15.14,1.5,3,155.08,1.5,18.43,165.94,2,9.66,47.41,0,0,1,0,0,0,0,0,0
109,LV-18,LV,Luther Vale,Cape Hallett,North Victoria Land,-72.370052,169.89582,107.792,162.478,lower,0.7,398.8,-20.46,4.8,208.4,7.978,7.727,7.399,351.8,1.3,6.15,-14.37,0.06,0.51,9.06,0.13,99.86,0.25,0.25,25,0.13,45.14,0.25,0.25,25,0.25,145,0.5,0.5,50,56.97,67.46,24.84,70.75,0.215,11197.6,2.5,0.5,11.38,0.5,6184.63,2.5,10.18,32.83,11.48,23073.85,795.41,1237.52,17.66,10249.5,374.15,0.1,130.34,25.95,682.04,17.17,1.5,3,275.45,1.5,27.45,167.66,2,7.68,50.1,0,0,1,0,0,0,0,0,0
110,MD-BJA1,MD,Meyer Desert,Beardmore Glacier,Transantarctic Mountains,-85.249917,167.31457,2281.62,2316.19,upper,157.3,15,-39.16,29.6,157.1,8.183,7.155,7.702,618.9,3.1,0.47,-41.87,0.25,0.01,0.04,4.38,500.5,969.15,0.25,6172.19,9.07,66,87.11,0.25,7147.6,13.44,566.5,1056.26,0.5,13319.79,5894.5,77.47,697.75,3205.9,8.995,16570,2.5,1.3,25.9,0.4,25740,2.5,5.8,15,29.6,9424,2.5,969.4,3,3339,148.2,0.1,4679,15.5,248.7,3.1,1.5,3,212.2,1.5,59,123.5,2,19.5,18.4,0,0,0,1,0,0,0,0,0
111,MD-UN11,MD,Meyer Desert,Beardmore Glacier,Transantarctic Mountains,-85.25247,167.28073,2219.21,2253.79,upper,157.7,15,-39.16,8.2,12.3,7.86,7.293,7.65,2564.6,9.8,8.2,-23.29,0.13,0.03,0.22,13.21,838.03,487.54,0.25,3909.65,9.13,150.42,74.1,0.25,7987.14,22.34,988.45,561.63,0.5,11896.79,5766.58,94.3,992.17,2535.21,15.585,15408.37,2.5,0.5,46.41,0.8,28227.09,2.5,9.56,28.49,27.29,18217.13,2.5,1896.41,12.35,5882.47,292.93,0.1,3846.61,18.23,283.67,9.26,1.5,3,536.95,1.5,82.27,124.3,2,30.08,42.33,0,0,0,1,0,0,0,0,0
112,MD-UN6,MD,Meyer Desert,Beardmore Glacier,Transantarctic Mountains,-85.247633,167.30375,2241.53,2276.1,upper,157.2,15,-39.16,32.2,225.3,8.539,7.026,7.596,296.1,5.3,-5.69,-28.36,0.11,0.02,0.19,16.68,389.36,554.03,0.25,25,13.25,83.98,72.31,0.25,7805.3,29.92,473.34,626.34,0.5,7830.3,5781.93,69.1,851.58,1916.29,8.508,16245.02,2.5,3.78,39.54,0.5,28874.5,2.5,6.37,14.24,40.84,9990.04,2.5,1340.64,9.56,3317.73,156.57,0.1,4118.53,15.84,387.75,4.98,1.5,3,317.13,1.5,56.27,96.12,2,18.43,29.58,0,0,0,1,0,0,0,0,0
113,ME-A1-1,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.09403,163.78671,121.876,173.209,lower,9.6,58.3,-25.52,7.7,314.8,8.786,8.083,7.876,976.1,3,-9.22,-4.19,0.01,0.17,23.07,3.89,229.72,0.25,0.25,25,0.13,65.05,0.25,0.25,25,4.02,294.77,0.5,0.5,50,95.28,81.94,13.15,300.85,0.37,8135.08,2.5,0.5,40.63,0.05,9578.63,2.5,12.2,20.46,5.85,15181.45,2.5,1917.34,9.17,13316.53,215.73,0.4,2327.62,52.62,537,1.5,4.33,3,151.41,1.5,83.47,1090.73,2,31.25,27.62,0,0,1,0,0,0,0,0,0
114,ME-A2-3,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.09403,163.78671,121.876,173.209,lower,9.6,58.3,-25.52,7.7,314.8,9.854,8.147,8.062,300.6,3.1,-15.58,-1.53,0.01,0.47,39.14,9.96,2.5,0.25,0.25,25,6.78,2.5,0.25,0.25,25,16.75,5,0.5,0.5,50,59.06,52.53,5.68,265.29,0.12,10560,2.5,0.5,51.2,0.05,19280,2.5,15.7,27.8,6,19140,2.5,2503,9.6,18070,279,0.7,3109,70.3,713.3,1.5,1.5,3,189.5,1.5,136.2,1142,2,43.3,35.2,0,0,1,0,0,0,0,0,0
115,ME-B1-2,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.092,163.77771,161.497,212.832,lower,9.9,58.3,-25.52,6.2,324.8,9.231,7.897,7.79,179.6,2.1,-18.32,-2.18,0.01,0.41,41.86,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,69.5,42.16,10.13,171.89,0.26,12850,2.5,0.5,58.2,0.05,21520,2.5,20.4,35,11.7,23250,2.5,2507,9.3,24720,331.7,0.8,3595,99,722.2,1.5,3,3,247.9,1.5,170.4,1426,2,52,41,0,0,1,0,0,0,0,0,0
116,ME-c2-3,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.08899,163.77509,227.331,278.669,lower,10.2,58.3,-25.52,8.4,343.5,9.534,7.963,7.948,383.7,2.5,-18.56,-8.35,0.02,0.37,19.52,0.13,48.25,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,50.75,0.5,0.5,50,60.14,45.02,9.56,244.43,0.145,18966.2,2.5,0.5,106.76,0.05,19950.3,2.5,23.16,49.3,15.21,29542.74,2.5,7209.74,27.34,31441.35,373.26,0.89,3743.54,93.74,773.76,1.5,4.37,3,185.59,1.5,172.07,3234.59,2,80.32,59.24,0,0,1,0,0,0,0,0,0
117,ME-C3-1,ME,Miers Elevationanl Transect,Miers Valley,South Victoria Land,-78.08899,163.77509,227.331,278.669,lower,10.2,58.3,-25.52,8.4,343.5,9.617,7.866,7.881,277.9,2.9,-19.6,-7.35,0.02,0.37,21.85,4.52,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,4.65,5,0.5,0.5,50,52.3,53.31,6.01,283.26,0.115,13897.8,2.5,0.5,73.35,0.05,18156.31,2.5,19.94,33.47,13.43,22264.53,2.5,4147.29,14.13,23927.86,357.82,0.7,3162.32,82.97,672.34,3.41,1.5,3,170.84,1.5,141.98,1344.69,2,53.31,42.79,0,0,1,0,0,0,0,0,0
118,MF1-1,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.62511667,-176.7705333,603,641,lower,13,168.8,-21.17,16.7,285.7,7.819,5.904,6.746,59.6,3.4,-6.14,-22.72,0.02,0.11,6.1,0.13,43.86,0.25,0.25,25,0.13,46.58,4.91,0.25,387.3,0.25,90.44,5.16,0.5,412.3,17.45,60.04,8.52,106.69,0.045,8364.27,2.5,0.5,32.83,0.3,3543.91,2.5,5.89,10.58,6.99,12275.45,5.79,1793.41,7.78,2093.81,231.34,0.2,303.79,7.09,295.21,6.69,1.5,3,395.11,1.5,19.86,368.16,2,20.96,22.75,0,0,0,0,0,0,0,0,1
119,MF1-6,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.62653333,-176.7433667,447,485,lower,12.9,168.8,-21.17,31.2,281.7,7.852,5.932,6.776,60.8,2.4,-3.39,-33.49,0.01,0.05,4.26,0.13,2.5,0.25,0.25,25,0.13,49.5,0.25,0.25,25,0.25,52,0.5,0.5,50,13.22,49.56,9.82,90.79,0.045,8164.67,2.5,0.5,41.22,0.3,3200.6,2.5,5.69,10.38,4.19,11247.5,2.5,1665.67,7.78,2161.68,186.03,0.1,266.97,6.89,311.18,5.59,1.5,3,370.66,1.5,19.26,292.22,2,18.06,22.75,0,0,0,0,0,0,0,0,1
120,MF2-1,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.6236,-176.7353,431,469,lower,12.6,168.8,-21.17,26.2,278.2,7.743,5.894,6.805,37.7,3,-2.82,-28.66,0.01,0.04,4.03,0.13,2.5,0.25,0.25,25,0.13,54.74,0.25,0.25,25,0.25,57.24,0.5,0.5,50,18.45,46.15,4.82,91.21,0.065,7638.28,2.5,0.5,34.77,0.2,3925.85,2.5,5.91,10.12,6.51,13867.74,2.5,1779.56,9.52,2351.7,185.27,0.1,500.4,6.31,614.23,5.51,1.5,3,358.52,1.5,18.54,418.24,2,28.16,25.35,0,0,0,0,0,0,0,0,1
121,MF3-1,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.62266667,-176.75065,508,547,lower,12.6,168.8,-21.17,27.2,269,7.827,5.65,6.635,31.1,3.5,-2.82,-30.72,0.01,0.08,5.35,0.13,2.5,0.25,0.25,25,0.13,54.27,0.25,0.25,25,0.25,56.77,0.5,0.5,50,14.04,49.54,6.75,20.21,0.08,10159.68,2.5,0.5,54.19,0.3,3969.06,2.5,7.49,11.18,8.18,14680.64,2.5,2497.01,10.18,2979.04,234.03,0.1,292.12,8.78,446.51,5.59,1.5,3,387.82,1.5,22.46,427.74,2,28.44,31.34,0,0,0,0,0,0,0,0,1
122,MFP-A1,MFP,Mt. Falconer TP,Taylor Valley,South Victoria Land,-77.5717,163.161,548.775,600.631,lower,8.1,39,-30.23,3.7,140.3,8.413,7.405,7.144,206.9,1.6,-10.64,-16.75,0.01,0.1,8.79,0.13,56.11,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,58.61,0.5,0.5,50,63.82,28.83,13.45,33.03,0.39,6258.48,2.5,0.5,45.21,0.2,4067.86,2.5,5.89,11.58,0.5,10738.52,2.5,1994.01,15.57,3108.78,174.45,0.1,433.73,5.29,414.27,3.89,1.5,3,158.18,1.5,23.95,793.81,2,16.27,30.54,0,0,0,0,1,0,0,0,0
123,MFP-A2,MFP,Mt. Falconer TP,Taylor Valley,South Victoria Land,-77.5717,163.161,548.775,600.631,lower,8.1,39,-30.23,3.7,140.3,8.447,7.282,7.156,145.8,2.3,-10.93,-16.34,0.01,0.08,7.49,0.13,55.48,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,57.98,0.5,0.5,50,62.79,35.13,14.68,81.39,0.41,6929.86,2.5,0.5,53.71,0.4,4045.09,2.5,5.91,14.83,0.5,11773.55,2.5,2176.35,17.74,3377.76,191.78,0.1,538.48,5.71,385.07,4.71,1.5,3,158.42,1.5,25.45,984.87,2,14.43,32.57,0,0,0,0,1,0,0,0,0
124,MFP-AAA,MFP,Mt. Falconer TP,Taylor Valley,South Victoria Land,-77.574361,163.163639,585.007,636.853,lower,8,39,-30.23,12.3,189.3,8.319,7.168,7.073,86.9,1.8,-2.19,-22.31,0.03,0.26,9.37,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,23.25,21.43,9.12,25.46,0.18,5572,2.5,0.5,36.8,0.3,2619,2.5,5,10.1,0.5,9951,2.5,1599,16.1,2694,166.2,0.1,442.6,4.4,310.6,5.2,1.5,3,131.4,1.5,16.4,807.6,2,11.4,26.9,0,0,0,0,1,0,0,0,0
125,MFP-d,MFP,Mt. Falconer TP,Taylor Valley,South Victoria Land,-77.571733,163.161,548.983,600.839,lower,8.1,39,-30.23,3.7,142,8.503,7.416,7.424,161.7,1.8,-9.01,-17.24,0.01,0.08,7.68,0.13,48.91,0.25,0.25,25,0.13,2.5,8.51,0.25,25,0.25,51.41,8.76,0.5,50,57.26,40.84,16.07,64.26,0.355,5801.4,2.5,0.5,42.81,0.4,3339.32,2.5,4.69,11.08,0.5,10578.84,2.5,2092.81,14.57,2867.27,187.43,0.1,305.79,3.59,353.29,4.99,1.5,3,153.19,1.5,18.16,885.13,2,10.88,30.74,0,0,0,0,1,0,0,0,0
126,MFX-2,MF,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.62411667,-176.7085,295,333,lower,12.4,168.8,-21.17,20,294.5,7.975,6.225,6.995,77.5,3.6,0.11,-28.81,0.02,0.16,7.12,2.27,2.5,0.25,0.25,25,0.13,2.5,0.25,4.23,25,2.4,5,0.5,4.48,50,15.6,62.5,8.27,27.33,0.045,13336.65,2.5,0.5,60.06,0.5,6019.92,2.5,7.27,14.84,9.66,15956.18,2.5,2341.63,9.26,3316.73,249.5,0.1,515.24,10.56,367.73,6.87,1.5,3,555.68,1.5,36.75,446.02,2,28.49,34.26,0,0,0,0,0,0,0,0,1
127,MK-A6,MK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.7607,172.751317,458.696,500.008,lower,7.1,175.6,-23.17,34.1,10.9,7.974,7.24,7.811,5421.7,9,1.02,-7.04,0.03,0.28,8.35,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,78.2,52.94,3.85,19.24,0.235,29688.13,2.5,0.5,44.16,1.51,15201.21,2.5,15.39,49.7,10.66,31257.55,2.5,11317.91,46.18,16338.03,408.55,0.1,442.76,28.47,545.98,14.69,1.5,3,262.27,1.5,147.89,1034.21,2,41.35,89.64,0,0,0,0,0,0,0,1,0
128,MK-KYBjA6,MK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.759966,172.768667,571.887,613.212,lower,6.9,175.6,-23.17,26.6,35.3,6.835,6.321,6.852,19415.9,9.9,-1.53,-5.55,0.04,0.38,11.13,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,64.55,105.77,3.43,17.42,0.19,31057.88,2.5,0.5,48.7,1.5,12225.55,2.5,16.57,57.88,3.69,34421.16,2.5,12634.73,49.8,17994.01,421.26,0.1,412.28,31.14,664.27,14.57,1.5,3,266.47,1.5,132.93,1208.58,2,43.21,96.31,0,0,0,0,0,0,0,1,0
129,MK-UN8,MK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.7607,172.751317,458.696,500.008,lower,7.1,175.6,-23.17,34.1,10.9,7.031,6.703,7.054,19185.9,14.4,-1.12,-1.3,0.03,0.45,17.76,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,86.91,42.01,4.39,25.21,0.285,30744.05,2.5,15.97,75.69,1.79,23303.57,2.5,14.19,57.64,11.11,30605.16,59.52,12351.19,36.21,15367.06,543.06,0.1,754.76,26.79,773.02,12.4,1.5,3,325.89,1.5,193.85,1192.46,2,60.42,81.94,0,0,0,0,0,0,0,1,0
130,MS-11,MS,Mt. Seuss Refugia,Mount Seuss,South Victoria Land,-77.03,161.71,723.282,776.336,lower,10.3,29.8,-30.75,35.4,198.2,7.683,5.683,6.47,36,1.7,-13.09,-29.98,0.01,0.03,4.66,0.13,40.43,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,42.93,0.5,0.5,50,9.5,67.75,1.95,13.97,0.018,2161.03,2.5,0.5,7.85,0.2,1244.53,2.5,1.19,0.5,2.88,2750.5,2.5,679.92,5.96,469.38,46.82,0.1,119.18,1.39,143.24,3.38,1.5,3,216.7,1.5,6.86,29.82,2,5.96,5.86,0,0,0,0,1,0,0,0,0
131,MS-12,MS,Mt. Seuss Refugia,Mount Seuss,South Victoria Land,-77.03,161.71,723.282,776.336,lower,10.3,29.8,-30.75,35.4,198.2,6.366,4.557,5.13,17.6,1.5,-9.39,-24.71,0.01,0.06,5.62,0.13,48.16,0.25,0.25,25,0.13,45.28,0.25,0.25,25,0.25,93.45,0.5,0.5,50,6.43,116.36,1.93,10.72,0.012,2500,2.5,0.5,8.05,0.1,1161.97,2.5,1.61,3.22,3.72,3511.07,2.5,588.13,5.84,667.71,55.43,0.2,143.66,1.71,113.18,3.12,1.5,3,229.58,1.5,5.63,61.87,2,5.94,8.65,0,0,0,0,1,0,0,0,0
132,MS-5,MS,Mt. Seuss Refugia,Mount Seuss,South Victoria Land,-77.03,161.71,723.282,776.336,lower,10.3,29.8,-30.75,35.4,198.2,7.77,6.122,6.838,30.8,5,-3.78,-30.52,0.01,0.05,5.1,0.13,62.9,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,65.4,0.5,0.5,50,15.3,96.98,3.18,13.79,0.023,2479,2.5,0.5,8.1,0.1,1546,2.5,1.6,3,1.4,3677,2.5,522.5,6.3,647.4,63.5,0.2,133.1,2.1,184.1,1.5,1.5,3,208,1.5,8,30.6,2,8.9,7.1,0,0,0,0,1,0,0,0,0
133,MS-7,MS,Mt. Seuss Refugia,Mount Seuss,South Victoria Land,-77.03,161.71,723.282,776.336,lower,10.3,29.8,-30.75,35.4,198.2,8.161,6.418,7.009,46.8,5.2,13.31,-30.25,0.01,0.04,4.24,0.13,100.07,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,102.57,0.5,0.5,50,8.69,57.77,2.02,19.34,0.013,2383.23,2.5,0.5,7.98,0.1,1249.5,2.5,1.1,2.3,3.59,3099.8,2.5,580.54,4.99,506.29,51.9,0.3,143.11,1.5,111.28,4.89,1.5,3,266.67,1.5,6.29,37.92,2,4.29,6.09,0,0,0,0,1,0,0,0,0
134,MSP1-1,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48301667,-176.51275,272,312,lower,2.6,168.8,-21.17,24.3,273,9.759,4.892,6.112,76.7,0.5,-4.67,-31.32,0.01,0.04,5.05,0.13,2.5,0.25,0.25,25,0.13,51.57,0.25,0.25,25,0.25,54.07,0.5,0.5,50,4.37,18.79,1.63,4.01,0.02,4399.4,2.5,0.5,30.38,0.1,974.7,2.5,2.99,5.48,0.5,9752.99,2.5,2241.04,25.1,1763.94,257.47,0.1,84.76,1.2,212.85,5.98,1.5,3,206.18,1.5,2.49,370.92,2,11.75,27.99,0,0,0,0,1,0,0,0,0
135,MSP1-4,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48296667,-176.4805333,135,175,lower,2.3,168.8,-21.17,15.7,267,9.127,4.934,6.193,17.7,0.7,-3.91,-29.3,0.02,0.05,3.36,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,6.56,19.75,2.29,4.13,0.03,4450.1,11.18,72.85,22.46,1.3,1138.72,2.5,4.19,8.68,0.5,10608.78,110.88,1929.14,26.65,1872.26,254.99,0.7,65.27,2.69,236.83,10.18,1.5,3,203.09,1.5,3.19,363.97,2,14.67,29.54,0,0,0,0,1,0,0,0,0
136,MSP2-1,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48188333,-176.5069667,239,279,lower,2.4,168.8,-21.17,23.4,266.5,8.753,4.999,6.089,23,1,-10.1,-32.75,0.01,0.04,3.85,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,5.8,36.6,2.36,8.17,0.02,4885.46,2.5,6.67,25,0.2,1073.71,2.5,3.49,7.67,0.5,11235.06,40.34,1992.03,29.18,1901.39,277.89,0.5,64.14,1.79,231.97,8.76,1.5,3,206.57,1.5,3.09,399.8,2,13.75,32.47,0,0,0,0,1,0,0,0,0
137,MSP3-1,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48191667,-176.4879,156,196,lower,2.3,168.8,-21.17,21.6,253.7,7.536,5.035,5.73,365.7,0.7,-4.07,-29.16,0.03,0.22,8.06,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,6.22,34.41,3.12,31.31,0.02,2794.41,2.5,0.5,12.08,0.2,752.3,2.5,1.9,3.69,0.5,6229.54,22.75,1189.62,17.96,1100.8,164.27,0.1,48.2,0.5,151.4,6.99,1.5,3,192.61,1.5,1.1,224.75,2,6.79,17.07,0,0,0,0,1,0,0,0,0
138,MSP3-4,MSP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.48018333,-176.4880833,140,180,lower,2.2,168.8,-21.17,19.4,253,6.659,4.909,5.385,113.3,0.8,-4.79,-29.67,0.03,0.24,9.74,0.13,2.5,0.25,0.25,25,0.13,39.1,11.75,0.25,25,0.25,41.6,12,0.5,50,40.24,57.48,8.19,13.24,0.085,3546.91,2.5,0.5,17.07,0.1,1127.74,2.5,2.69,5.39,0.5,8611.78,14.67,1530.94,21.66,1440.12,204.99,0.2,57.78,1.8,305.49,6.59,1.5,3,187.62,1.5,1.8,258.88,2,8.48,24.65,0,0,0,0,1,0,0,0,0
139,MW2-1,MW,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.55958333,-176.8112167,270,309,lower,9.4,168.8,-21.17,16.9,290.8,6.824,4.495,5.609,70.8,4.1,-1.21,-25.74,0.02,0.09,5.96,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,10.08,14.03,2.06,12.35,0.02,9628.26,2.5,0.5,45.29,0.2,3827.66,2.5,7.52,12.53,0.5,16282.57,9.22,2800.6,12.32,4350.7,277.25,0.1,182.97,4.21,361.62,3.61,1.5,3,321.24,1.5,20.34,871.54,2,25.65,35.57,0,0,0,0,0,0,0,0,1
